#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,4,3,0,1,10:8,2,9
2,Bayer Leverkusen,B04,4,2,2,0,6:3,3,8
3,VfB Stuttgart,VFB,3,2,1,0,7:2,5,7
4,Hertha BSC,BSC,4,2,0,2,11:7,4,6
5,Borussia Dortmund,BVB,3,2,0,1,3:2,1,6
6,Bor. Mönchengladbach,BMG,4,2,0,2,9:10,-1,6
7,1. FC Union Berlin,FCU,3,1,2,0,5:3,2,5
7,Werder Bremen,SVW,3,1,2,0,5:3,2,5
9,Eintracht Frankfurt,SGE,4,1,2,1,6:9,-3,5
10,RB Leipzig,RBL,3,1,1,1,3:2,1,4
11,FC Augsburg,FCA,3,1,1,1,4:4,0,4
12,1899 Hoffenheim,TSG,4,1,1,2,6:7,-1,4
13,SC Freiburg,SCF,4,1,1,2,4:10,-6,4
14,VfL Wolfsburg,WOB,3,0,3,0,3:3,0,3
15,1. FC Köln,KOE,3,0,2,1,2:3,-1,2
16,Arminia Bielefeld,DSC,4,0,1,3,2:9,-7,1
17,FC Schalke 04,S04,4,0,1,3,2:17,-15,1
18,1. FSV Mainz 05,M05,3,0,0,3,2:10,-8,0
