#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,7,4,1,2,9:5,4,13
2,Borussia Dortmund,BVB,7,3,2,2,10:6,4,11
2,FC Hansa Rostock,ROS,7,3,2,2,10:6,4,11
4,VfL Bochum,BOC,7,3,2,2,16:14,2,11
5,FC Schalke 04,S04,7,3,2,2,9:8,1,11
6,Hertha BSC,BSC,7,3,2,2,6:6,0,11
7,Hannover 96,H96,7,3,1,3,11:13,-2,10
8,Werder Bremen,SVW,7,3,1,3,11:14,-3,10
9,Bayer Leverkusen,B04,7,2,3,2,10:10,0,9
10,VfB Stuttgart,VFB,7,2,3,2,9:10,-1,9
11,1. FC Nürnberg,FCN,7,2,2,3,8:11,-3,8
12,TSV 1860 München,M60,7,2,1,4,6:10,-4,7
13,Energie Cottbus,FCE,7,1,2,4,5:17,-12,5
14,Bor. Mönchengladbach,BMG,7,1,1,5,6:10,-4,4
15,Hamburger SV,HSV,7,1,1,5,7:13,-6,4
16,VfL Wolfsburg,WOB,7,1,1,5,6:12,-6,4
17,1. FC Kaiserslautern,FCK,7,0,2,5,6:15,-9,2
18,Arminia Bielefeld,DSC,7,0,2,5,5:18,-13,2
