#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,9,5,2,2,16:7,9,17
2,Bayern München,FCB,8,5,1,2,12:5,7,16
3,FC Schalke 04,S04,9,4,3,2,11:8,3,15
4,Bayer Leverkusen,B04,8,3,3,2,13:10,3,12
5,VfL Bochum,BOC,8,3,3,2,17:15,2,12
6,VfB Stuttgart,VFB,9,3,3,3,12:14,-2,12
7,FC Hansa Rostock,ROS,8,3,2,3,10:9,1,11
8,1. FC Nürnberg,FCN,8,3,2,3,10:11,-1,11
9,Werder Bremen,SVW,8,3,2,3,12:15,-3,11
10,TSV 1860 München,M60,9,3,2,4,11:14,-3,11
11,Hertha BSC,BSC,9,3,2,4,7:10,-3,11
12,Hannover 96,H96,8,3,1,4,11:14,-3,10
13,Hamburger SV,HSV,9,2,2,5,10:15,-5,8
14,Arminia Bielefeld,DSC,9,1,3,5,8:18,-10,6
15,Energie Cottbus,FCE,8,1,3,4,7:19,-12,6
16,VfL Wolfsburg,WOB,9,1,2,6,8:16,-8,5
17,Bor. Mönchengladbach,BMG,9,1,1,7,7:15,-8,4
18,1. FC Kaiserslautern,FCK,8,0,2,6,7:18,-11,2
