#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,14,12,2,0,46:9,37,38
2,1899 Hoffenheim,TSG,14,8,4,2,30:14,16,28
3,RB Leipzig,RBL,14,8,4,2,27:16,11,28
4,FC Schalke 04,S04,14,8,4,2,23:14,9,28
5,VfB Stuttgart,VFB,14,8,3,3,13:8,5,27
6,Borussia Dortmund,BVB,14,7,4,3,32:19,13,25
7,Eintracht Frankfurt,SGE,14,7,3,4,22:15,7,24
8,Bayer Leverkusen,B04,14,6,5,3,22:15,7,23
9,Werder Bremen,SVW,14,6,4,4,18:15,3,22
10,Bor. Mönchengladbach,BMG,14,6,4,4,20:18,2,22
11,Hannover 96,H96,14,6,3,5,23:20,3,21
12,SC Freiburg,SCF,14,5,6,3,12:13,-1,21
13,FC Augsburg,FCA,14,5,4,5,20:18,2,19
14,Hertha BSC,BSC,14,4,6,4,17:18,-1,18
15,1. FSV Mainz 05,M05,14,5,3,6,16:19,-3,18
16,VfL Wolfsburg,WOB,14,2,7,5,18:21,-3,13
17,Hamburger SV,HSV,14,3,4,7,11:16,-5,13
18,1. FC Köln,KOE,14,3,3,8,16:24,-8,12
