#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,17,14,2,1,44:12,32,44
2,Bayern München,FCB,17,14,1,2,49:6,43,43
3,FC Schalke 04,S04,17,13,1,3,47:14,33,40
4,Hannover 96,H96,17,10,7,0,31:17,14,37
5,Bor. Mönchengladbach,BMG,17,9,7,1,29:10,19,34
6,VfB Stuttgart,VFB,17,10,3,4,36:17,19,33
7,VfL Wolfsburg,WOB,17,10,2,5,29:22,7,32
8,Werder Bremen,SVW,17,8,4,5,31:23,8,28
9,Bayer Leverkusen,B04,17,8,4,5,28:24,4,28
10,FC Augsburg,FCA,17,6,7,4,20:19,1,25
11,SC Freiburg,SCF,17,6,6,5,24:20,4,24
12,1. FSV Mainz 05,M05,17,7,3,7,27:26,1,24
13,1. FC Nürnberg,FCN,17,6,4,7,22:25,-3,22
14,1899 Hoffenheim,TSG,17,4,9,4,21:17,4,21
15,1. FC Köln,KOE,17,5,4,8,20:29,-9,19
16,Hamburger SV,HSV,17,3,7,7,19:29,-10,16
17,Hertha BSC,BSC,17,4,3,10,19:29,-10,15
18,1. FC Kaiserslautern,FCK,17,2,5,10,12:28,-16,11
