#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,7,5,2,0,15:5,10,17
2,Hertha BSC,BSC,7,5,2,0,17:8,9,17
3,Bayern München,FCB,8,5,2,1,13:6,7,17
4,Werder Bremen,SVW,8,5,1,2,18:10,8,16
5,Arminia Bielefeld,DSC,8,4,3,1,15:8,7,15
6,VfB Stuttgart,VFB,7,4,1,2,11:7,4,13
7,Bor. Mönchengladbach,BMG,7,4,0,3,7:6,1,12
8,Bayer Leverkusen,B04,7,3,2,2,14:9,5,11
9,1. FC Nürnberg,FCN,8,2,5,1,9:8,1,11
10,Borussia Dortmund,BVB,8,2,5,1,8:7,1,11
11,VfL Wolfsburg,WOB,7,2,4,1,5:4,1,10
12,Eintracht Frankfurt,SGE,7,2,4,1,9:9,0,10
13,VfL Bochum,BOC,8,3,0,5,10:18,-8,9
14,Energie Cottbus,FCE,8,2,2,4,11:12,-1,8
15,Alemannia Aachen,AAC,8,2,2,4,14:16,-2,8
16,1. FSV Mainz 05,M05,8,1,4,3,7:14,-7,7
17,Hamburger SV,HSV,7,0,5,2,6:8,-2,5
18,Hannover 96,H96,7,1,2,4,6:13,-7,5
