#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,13,9,2,2,23:10,13,29
2,Werder Bremen,SVW,14,9,1,4,28:15,13,28
3,Bayern München,FCB,13,8,4,1,19:9,10,28
4,Hertha BSC,BSC,13,8,2,3,25:16,9,26
5,1. FC Nürnberg,FCN,13,6,6,1,22:12,10,24
6,VfB Stuttgart,VFB,12,7,3,2,19:10,9,24
7,Bayer Leverkusen,B04,13,6,3,4,22:16,6,21
8,VfL Wolfsburg,WOB,13,5,6,2,17:13,4,21
9,Arminia Bielefeld,DSC,13,5,4,4,20:17,3,19
10,Bor. Mönchengladbach,BMG,12,5,4,3,13:10,3,19
11,1. FSV Mainz 05,M05,13,5,4,4,15:20,-5,19
12,Borussia Dortmund,BVB,14,4,6,4,15:15,0,18
13,Alemannia Aachen,AAC,14,5,3,6,25:27,-2,18
14,Eintracht Frankfurt,SGE,13,4,5,4,15:22,-7,17
15,Energie Cottbus,FCE,13,4,4,5,16:16,0,16
16,VfL Bochum,BOC,13,5,1,7,16:23,-7,16
17,Hannover 96,H96,13,3,6,4,19:19,0,15
18,Hamburger SV,HSV,12,2,8,2,13:10,3,14
