#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,7,5,1,1,12:5,7,16
2,FC Schalke 04,S04,6,4,2,0,13:4,9,14
3,Hertha BSC,BSC,6,4,2,0,15:7,8,14
4,Arminia Bielefeld,DSC,7,4,2,1,15:8,7,14
5,Bor. Mönchengladbach,BMG,7,4,0,3,7:6,1,12
6,Werder Bremen,SVW,6,3,1,2,12:9,3,10
7,VfB Stuttgart,VFB,6,3,1,2,10:7,3,10
8,1. FC Nürnberg,FCN,7,2,4,1,9:8,1,10
9,VfL Wolfsburg,WOB,6,2,3,1,4:3,1,9
10,Eintracht Frankfurt,SGE,6,2,3,1,8:8,0,9
11,Bayer Leverkusen,B04,6,2,2,2,11:8,3,8
12,Energie Cottbus,FCE,7,2,2,3,11:11,0,8
13,Borussia Dortmund,BVB,7,1,5,1,7:7,0,8
14,Alemannia Aachen,AAC,7,2,2,3,12:13,-1,8
15,1. FSV Mainz 05,M05,7,1,3,3,7:14,-7,6
16,VfL Bochum,BOC,7,2,0,5,8:17,-9,6
17,Hamburger SV,HSV,6,0,5,1,5:6,-1,5
18,Hannover 96,H96,6,0,2,4,5:13,-8,2
