#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bor. Mönchengladbach,BMG,3,3,0,0,4:0,4,9
2,FC Schalke 04,S04,3,2,1,0,5:1,4,7
3,Bayern München,FCB,3,2,1,0,4:1,3,7
4,Hertha BSC,BSC,2,2,0,0,6:0,6,6
5,Energie Cottbus,FCE,3,1,2,0,5:3,2,5
6,1. FSV Mainz 05,M05,3,1,2,0,4:3,1,5
7,Bayer Leverkusen,B04,2,1,1,0,4:1,3,4
8,Eintracht Frankfurt,SGE,2,1,1,0,3:1,2,4
9,1. FC Nürnberg,FCN,2,1,1,0,2:1,1,4
9,Borussia Dortmund,BVB,2,1,1,0,2:1,1,4
11,Alemannia Aachen,AAC,2,1,0,1,4:3,1,3
12,Arminia Bielefeld,DSC,2,1,0,1,4:4,0,3
12,Werder Bremen,SVW,2,1,0,1,4:4,0,3
14,Hamburger SV,HSV,3,0,3,0,3:3,0,3
15,VfL Bochum,BOC,3,1,0,2,3:4,-1,3
16,VfL Wolfsburg,WOB,2,0,1,1,1:2,-1,1
17,Hannover 96,H96,3,0,1,2,3:8,-5,1
18,VfB Stuttgart,VFB,3,0,1,2,2:7,-5,1
