#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,10,6,2,2,28:12,16,20
2,VfB Stuttgart,VFB,10,5,3,2,21:16,5,18
3,Bayern München,FCB,10,5,2,3,16:12,4,17
4,FC Schalke 04,S04,10,5,2,3,13:13,0,17
5,Hertha BSC,BSC,10,4,4,2,16:12,4,16
6,Arminia Bielefeld,DSC,10,4,3,3,17:12,5,15
7,Energie Cottbus,FCE,10,4,3,3,14:13,1,15
8,Borussia Dortmund,BVB,10,3,5,2,13:12,1,14
9,1. FC Nürnberg,FCN,10,2,7,1,12:9,3,13
10,Eintracht Frankfurt,SGE,10,2,7,1,12:11,1,13
11,VfL Wolfsburg,WOB,10,3,4,3,7:9,-2,13
12,Bayer Leverkusen,B04,10,3,3,4,14:14,0,12
13,Alemannia Aachen,AAC,10,4,0,6,17:21,-4,12
14,Bor. Mönchengladbach,BMG,10,4,0,6,10:14,-4,12
15,Hamburger SV,HSV,10,1,6,3,10:12,-2,9
16,VfL Bochum,BOC,10,2,2,6,9:17,-8,8
17,1. FSV Mainz 05,M05,10,1,5,4,9:18,-9,8
18,Hannover 96,H96,10,1,4,5,9:20,-11,7
