#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,VfB Stuttgart,VFB,12,7,3,2,25:17,8,24
2,Werder Bremen,SVW,12,7,2,3,31:16,15,23
3,FC Schalke 04,S04,12,7,2,3,19:13,6,23
4,Bayern München,FCB,12,6,2,4,19:15,4,20
5,Arminia Bielefeld,DSC,12,5,4,3,22:14,8,19
6,Hertha BSC,BSC,12,4,6,2,21:17,4,18
7,Borussia Dortmund,BVB,12,4,6,2,16:13,3,18
8,VfL Wolfsburg,WOB,12,4,5,3,9:10,-1,17
9,Energie Cottbus,FCE,12,4,4,4,14:14,0,16
10,Eintracht Frankfurt,SGE,12,3,7,2,13:14,-1,16
11,Bayer Leverkusen,B04,12,4,3,5,19:18,1,15
12,1. FC Nürnberg,FCN,12,2,8,2,14:12,2,14
13,Alemannia Aachen,AAC,12,4,2,6,18:22,-4,14
14,Bor. Mönchengladbach,BMG,12,4,1,7,11:17,-6,13
15,Hamburger SV,HSV,12,1,7,4,11:15,-4,10
16,Hannover 96,H96,12,2,4,6,11:22,-11,10
17,VfL Bochum,BOC,12,2,3,7,13:23,-10,9
18,1. FSV Mainz 05,M05,12,1,5,6,10:24,-14,8
