#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,VfB Stuttgart,VFB,33,20,7,6,59:36,23,67
2,FC Schalke 04,S04,33,20,5,8,51:31,20,65
3,Werder Bremen,SVW,33,19,6,8,74:40,34,63
4,Bayern München,FCB,33,17,6,10,50:38,12,57
5,Bayer Leverkusen,B04,33,14,6,13,52:48,4,48
6,1. FC Nürnberg,FCN,33,10,15,8,40:32,8,45
7,Borussia Dortmund,BVB,33,12,8,13,40:41,-1,44
8,Hannover 96,H96,33,12,8,13,41:47,-6,44
9,Hamburger SV,HSV,33,9,15,9,39:37,2,42
10,Arminia Bielefeld,DSC,33,11,9,13,46:47,-1,42
11,VfL Bochum,BOC,33,12,6,15,47:50,-3,42
12,Hertha BSC,BSC,33,11,8,14,48:54,-6,41
13,Energie Cottbus,FCE,33,11,8,14,37:47,-10,41
14,Eintracht Frankfurt,SGE,33,9,13,11,45:56,-11,40
15,VfL Wolfsburg,WOB,33,8,13,12,37:43,-6,37
16,Alemannia Aachen,AAC,33,9,7,17,46:66,-20,34
17,1. FSV Mainz 05,M05,33,8,10,15,32:52,-20,34
18,Bor. Mönchengladbach,BMG,33,6,8,19,23:42,-19,26
