#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,19,13,3,3,52:22,30,42
2,FC Schalke 04,S04,19,13,3,3,34:19,15,42
3,VfB Stuttgart,VFB,19,10,5,4,32:25,7,35
4,Bayern München,FCB,19,10,4,5,32:22,10,34
5,Hertha BSC,BSC,19,8,6,5,30:30,0,30
6,Bayer Leverkusen,B04,19,8,4,7,31:28,3,28
7,1. FC Nürnberg,FCN,19,5,12,2,25:17,8,27
8,Borussia Dortmund,BVB,19,6,7,6,24:24,0,25
9,Arminia Bielefeld,DSC,19,5,8,6,26:23,3,23
10,Hannover 96,H96,19,6,5,8,21:29,-8,23
11,Energie Cottbus,FCE,19,5,6,8,22:26,-4,21
12,Eintracht Frankfurt,SGE,19,4,9,6,25:33,-8,21
13,VfL Wolfsburg,WOB,19,4,8,7,15:20,-5,20
14,Alemannia Aachen,AAC,19,5,4,10,31:38,-7,19
15,VfL Bochum,BOC,19,5,4,10,22:31,-9,19
16,1. FSV Mainz 05,M05,19,3,8,8,13:30,-17,17
17,Bor. Mönchengladbach,BMG,19,4,4,11,14:26,-12,16
18,Hamburger SV,HSV,19,1,12,6,18:24,-6,15
