#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1. FC Kaiserslautern,FCK,3,3,0,0,9:2,7,9
2,Bayer Leverkusen,B04,4,2,2,0,8:4,4,8
3,Bayern München,FCB,4,2,1,1,6:2,4,7
4,Borussia Dortmund,BVB,3,2,0,1,4:1,3,6
5,VfB Stuttgart,VFB,3,2,0,1,6:4,2,6
6,Hertha BSC,BSC,4,1,2,1,4:5,-1,5
7,Bor. Mönchengladbach,BMG,3,1,1,1,7:6,1,4
8,Energie Cottbus,FCE,3,1,1,1,5:5,0,4
8,Werder Bremen,SVW,4,1,1,2,5:5,0,4
10,FC Hansa Rostock,ROS,4,1,1,2,4:6,-2,4
11,FC Schalke 04,S04,4,1,1,2,2:5,-3,4
12,TSV 1860 München,M60,3,1,0,2,4:5,-1,3
13,1. FC Nürnberg,FCN,4,1,0,3,2:5,-3,3
14,1. FC Köln,KOE,3,0,2,1,2:3,-1,2
15,FC St. Pauli,STP,4,0,2,2,4:8,-4,2
16,Hamburger SV,HSV,3,0,1,2,2:4,-2,1
17,SC Freiburg,SCF,3,0,1,2,1:4,-3,1
18,VfL Wolfsburg,WOB,4,0,1,3,5:11,-6,1
