#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,6,5,0,1,10:3,7,15
2,Bayer Leverkusen,B04,6,4,2,0,15:7,8,14
3,Bayern München,FCB,6,4,1,1,13:3,10,13
4,1. FC Kaiserslautern,FCK,6,3,0,3,11:10,1,9
5,Hertha BSC,BSC,6,2,2,2,7:10,-3,8
6,TSV 1860 München,M60,6,2,1,3,9:8,1,7
7,Werder Bremen,SVW,6,2,1,3,7:8,-1,7
8,Bor. Mönchengladbach,BMG,6,2,1,3,9:11,-2,7
9,FC Hansa Rostock,ROS,6,2,1,3,6:9,-3,7
10,VfB Stuttgart,VFB,6,2,0,4,7:13,-6,6
11,SC Freiburg,SCF,6,1,2,3,6:10,-4,5
12,Hamburger SV,HSV,6,1,2,3,3:7,-4,5
13,FC Schalke 04,S04,6,1,2,3,2:8,-6,5
14,VfL Wolfsburg,WOB,6,1,1,4,9:12,-3,4
15,Energie Cottbus,FCE,6,1,1,4,6:14,-8,4
16,FC St. Pauli,STP,6,0,3,3,6:12,-6,3
17,1. FC Nürnberg,FCN,6,1,0,5,2:13,-11,3
18,1. FC Köln,KOE,6,0,2,4,3:12,-9,2
