#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,5,4,1,0,7:3,4,13
2,Bayer Leverkusen,B04,5,3,2,0,11:4,7,11
3,Werder Bremen,SVW,5,3,2,0,10:4,6,11
4,Hamburger SV,HSV,5,2,3,0,12:8,4,9
5,VfL Wolfsburg,WOB,5,2,2,1,6:6,0,8
6,Bayern München,FCB,5,2,1,2,9:6,3,7
7,Eintracht Frankfurt,SGE,5,2,1,2,6:6,0,7
8,1899 Hoffenheim,TSG,5,2,0,3,6:7,-1,6
9,Borussia Dortmund,BVB,5,1,3,1,5:7,-2,6
10,SC Freiburg,SCF,5,2,0,3,9:12,-3,6
11,1. FC Köln,KOE,5,1,2,2,3:4,-1,5
12,Hannover 96,H96,5,1,1,3,5:7,-2,4
12,VfB Stuttgart,VFB,5,1,1,3,5:7,-2,4
14,1. FSV Mainz 05,M05,5,1,1,3,4:9,-5,4
15,VfL Bochum,BOC,5,1,0,4,2:10,-8,3
16,1. FC Nürnberg,FCN,5,0,2,3,2:10,-8,2
17,Bor. Mönchengladbach,BMG,5,0,1,4,4:12,-8,1
18,Hertha BSC,BSC,5,0,0,5,3:13,-10,0
