#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,5,4,1,0,7:3,4,13
2,Bayer Leverkusen,B04,6,3,3,0,13:6,7,12
3,Werder Bremen,SVW,6,3,3,0,12:6,6,12
4,Hamburger SV,HSV,5,2,3,0,12:8,4,9
5,1899 Hoffenheim,TSG,6,3,0,3,7:7,0,9
6,Bayern München,FCB,6,2,2,2,9:6,3,8
7,VfL Wolfsburg,WOB,5,2,2,1,6:6,0,8
8,Eintracht Frankfurt,SGE,5,2,1,2,6:6,0,7
9,Hannover 96,H96,6,2,1,3,6:7,-1,7
10,Borussia Dortmund,BVB,5,1,3,1,5:7,-2,6
11,SC Freiburg,SCF,5,2,0,3,9:12,-3,6
12,1. FC Köln,KOE,5,1,2,2,3:4,-1,5
13,1. FSV Mainz 05,M05,6,1,2,3,7:12,-5,5
14,VfB Stuttgart,VFB,5,1,1,3,5:7,-2,4
15,Bor. Mönchengladbach,BMG,6,1,1,4,7:14,-7,4
16,VfL Bochum,BOC,6,1,0,5,3:12,-9,3
17,1. FC Nürnberg,FCN,5,0,2,3,2:10,-8,2
18,Hertha BSC,BSC,6,0,0,6,3:15,-12,0
