#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,16,12,2,2,50:14,36,38
2,Borussia Dortmund,BVB,15,11,3,1,46:11,35,36
3,Bor. Mönchengladbach,BMG,15,10,2,3,35:20,15,32
4,RB Leipzig,RBL,15,7,7,1,36:17,19,28
5,Bayer Leverkusen,B04,15,7,4,4,28:21,7,25
6,SC Freiburg,SCF,15,7,2,6,17:16,1,23
7,Eintracht Frankfurt,SGE,15,6,4,5,31:24,7,22
8,FC Schalke 04,S04,16,5,7,4,19:23,-4,22
9,1. FC Köln,KOE,16,6,3,7,27:26,1,21
10,1. FC Union Berlin,FCU,15,6,3,6,20:20,0,21
11,FC Augsburg,FCA,15,5,5,5,26:24,2,20
12,VfL Wolfsburg,WOB,16,4,7,5,19:19,0,19
13,1899 Hoffenheim,TSG,16,6,1,9,22:37,-15,19
14,Hertha BSC,BSC,16,5,3,8,21:32,-11,18
15,Fortuna Düsseldorf,F95,16,4,5,7,17:27,-10,17
16,1. FSV Mainz 05,M05,16,4,2,10,15:28,-13,14
17,SC Paderborn 07,SCP,16,2,2,12,20:43,-23,8
18,Werder Bremen,SVW,15,1,3,11,9:34,-25,6
