#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,3,2,1,0,12:3,9,7
2,Borussia Dortmund,BVB,3,2,1,0,11:3,8,7
3,Bayer Leverkusen,B04,3,2,1,0,5:2,3,7
4,Eintracht Frankfurt,SGE,3,2,1,0,5:3,2,7
5,FC Schalke 04,S04,3,2,0,1,5:4,1,6
6,VfL Wolfsburg,WOB,3,1,2,0,4:3,1,5
7,SC Freiburg,SCF,3,1,1,1,5:3,2,4
8,RB Leipzig,RBL,3,1,1,1,4:5,-1,4
9,Bor. Mönchengladbach,BMG,3,1,1,1,3:4,-1,4
10,FC Augsburg,FCA,3,1,1,1,3:5,-2,4
11,1. FSV Mainz 05,M05,3,1,0,2,3:5,-2,3
12,Hertha BSC,BSC,2,1,0,1,2:4,-2,3
13,1. FC Union Berlin,FCU,4,1,0,3,5:9,-4,3
14,Werder Bremen,SVW,3,1,0,2,4:8,-4,3
15,1899 Hoffenheim,TSG,3,1,0,2,3:8,-5,3
16,Fortuna Düsseldorf,F95,3,0,1,2,3:6,-3,1
17,SC Paderborn 07,SCP,3,0,0,3,4:11,-7,0
18,1. FC Köln,KOE,3,0,0,3,1:8,-7,0
