#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,24,17,5,2,52:15,37,56
2,Borussia Dortmund,BVB,24,12,7,5,39:20,19,43
3,VfB Stuttgart,VFB,24,12,7,5,39:27,12,43
4,FC Schalke 04,S04,24,9,11,4,34:26,8,38
5,Werder Bremen,SVW,24,11,4,9,39:37,2,37
6,Hamburger SV,HSV,24,10,7,7,29:29,0,37
7,Hertha BSC,BSC,24,10,6,8,34:26,8,36
8,TSV 1860 München,M60,24,9,6,9,32:39,-7,33
9,VfL Wolfsburg,WOB,24,9,4,11,28:32,-4,31
10,VfL Bochum,BOC,24,8,6,10,39:41,-2,30
11,Hannover 96,H96,24,8,5,11,35:44,-9,29
12,FC Hansa Rostock,ROS,24,7,7,10,26:31,-5,28
13,Arminia Bielefeld,DSC,24,6,9,9,25:31,-6,27
14,Bor. Mönchengladbach,BMG,24,7,5,12,25:32,-7,26
15,Bayer Leverkusen,B04,24,7,5,12,31:40,-9,26
16,1. FC Kaiserslautern,FCK,24,6,7,11,30:33,-3,25
17,1. FC Nürnberg,FCN,24,7,4,13,28:42,-14,25
18,Energie Cottbus,FCE,24,6,5,13,24:44,-20,23
