#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,2,1,1,0,5:2,3,4
2,SC Freiburg,SCF,2,1,1,0,3:2,1,4
3,1899 Hoffenheim,TSG,2,1,0,1,6:3,3,3
4,VfL Wolfsburg,WOB,1,1,0,0,2:1,1,3
5,1. FC Union Berlin,FCU,1,0,1,0,2:2,0,1
6,Arminia Bielefeld,DSC,1,0,1,0,1:1,0,1
6,Bayern München,FCB,1,0,1,0,1:1,0,1
8,FC Augsburg,FCA,1,0,1,0,0:0,0,1
9,Eintracht Frankfurt,SGE,2,0,1,1,3:6,-3,1
10,1. FC Köln,KOE,1,0,0,1,2:3,-1,0
11,Borussia Dortmund,BVB,1,0,0,1,1:2,-1,0
12,VfL Bochum,BOC,2,0,0,2,1:3,-2,0
13,1. FSV Mainz 05,M05,1,0,0,1,0:2,-2,0
13,RB Leipzig,RBL,2,0,0,2,0:2,-2,0
15,VfB Stuttgart,VFB,1,0,0,1,0:4,-4,0
16,Bor. Mönchengladbach,BMG,2,0,0,2,1:6,-5,0
17,Hertha BSC,BSC,2,0,0,2,1:8,-7,0
17,SpVgg Greuther Fürth,SGF,2,0,0,2,1:8,-7,0
