#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,10,3,0,33:10,23,33
2,Hamburger SV,HSV,12,9,2,1,18:9,9,29
3,Borussia Dortmund,BVB,12,8,4,0,22:7,15,28
4,Werder Bremen,SVW,13,8,2,3,27:17,10,26
5,VfB Stuttgart,VFB,12,7,4,1,24:10,14,25
6,VfL Wolfsburg,WOB,12,8,1,3,19:11,8,25
7,Hertha BSC,BSC,12,6,4,2,24:12,12,22
8,Bor. Mönchengladbach,BMG,12,6,4,2,18:8,10,22
9,Arminia Bielefeld,DSC,12,6,3,3,18:9,9,21
10,1. FC Kaiserslautern,FCK,13,6,2,5,20:12,8,20
11,FC Schalke 04,S04,12,4,7,1,17:11,6,19
12,VfL Bochum,BOC,13,5,2,6,20:21,-1,17
13,TSV 1860 München,M60,12,4,3,5,14:17,-3,15
14,FC Hansa Rostock,ROS,13,3,5,5,13:16,-3,14
15,1. FC Nürnberg,FCN,13,4,2,7,15:21,-6,14
16,Hannover 96,H96,13,3,4,6,21:26,-5,13
17,Bayer Leverkusen,B04,13,3,3,7,16:23,-7,12
18,Energie Cottbus,FCE,13,3,1,9,12:25,-13,10
