#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,7,6,1,0,22:9,13,19
2,Werder Bremen,SVW,7,5,1,1,17:11,6,16
3,VfL Wolfsburg,WOB,6,5,0,1,9:4,5,15
4,Hamburger SV,HSV,6,5,0,1,9:6,3,15
5,TSV 1860 München,M60,6,4,1,1,12:5,7,13
6,Borussia Dortmund,BVB,7,3,4,0,9:5,4,13
7,VfB Stuttgart,VFB,6,3,3,0,12:5,7,12
8,Arminia Bielefeld,DSC,6,4,0,2,8:4,4,12
9,Bor. Mönchengladbach,BMG,6,3,2,1,10:2,8,11
10,Hertha BSC,BSC,6,3,2,1,10:6,4,11
11,FC Schalke 04,S04,6,3,2,1,7:3,4,11
12,VfL Bochum,BOC,7,3,1,3,13:9,4,10
13,1. FC Nürnberg,FCN,7,3,0,4,10:12,-2,9
14,Bayer Leverkusen,B04,7,2,2,3,9:12,-3,8
15,1. FC Kaiserslautern,FCK,6,1,2,3,6:7,-1,5
16,FC Hansa Rostock,ROS,7,1,2,4,7:10,-3,5
17,Hannover 96,H96,7,1,2,4,11:17,-6,5
18,Energie Cottbus,FCE,7,1,1,5,3:11,-8,4
