#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,5,1,2,13:7,6,16
2,Bayer Leverkusen,B04,9,4,3,2,13:11,2,15
3,FC Schalke 04,S04,8,4,1,3,12:13,-1,13
4,Borussia Dortmund,BVB,8,3,3,2,8:6,2,12
5,Bor. Mönchengladbach,BMG,8,4,0,4,7:5,2,12
6,Hertha BSC,BSC,8,2,4,2,12:15,-3,10
7,1899 Hoffenheim,TSG,9,3,0,6,10:13,-3,9
8,Hamburger SV,HSV,8,2,3,3,8:15,-7,9
9,1. FSV Mainz 05,M05,7,1,5,1,10:11,-1,8
10,VfB Stuttgart,VFB,7,2,2,3,8:10,-2,8
11,Werder Bremen,SVW,8,2,2,4,10:17,-7,8
12,1. FC Kaiserslautern,FCK,9,1,4,4,6:10,-4,7
13,1. FC Köln,KOE,7,2,1,4,13:22,-9,7
14,1. FC Nürnberg,FCN,8,2,0,6,4:16,-12,6
15,Hannover 96,H96,7,1,2,4,5:13,-8,5
16,FC Augsburg,FCA,8,1,2,5,6:16,-10,5
17,SC Freiburg,SCF,8,1,2,5,10:25,-15,5
18,VfL Wolfsburg,WOB,9,1,1,7,9:25,-16,4
