#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,2,2,0,0,4:0,4,6
2,1. FSV Mainz 05,M05,2,1,1,0,3:2,1,4
3,1899 Hoffenheim,TSG,2,1,0,1,3:2,1,3
4,Hannover 96,H96,1,1,0,0,2:1,1,3
5,Werder Bremen,SVW,2,1,0,1,2:2,0,3
6,Bor. Mönchengladbach,BMG,2,1,0,1,1:1,0,3
7,FC Schalke 04,S04,2,1,0,1,4:5,-1,3
8,1. FC Nürnberg,FCN,2,1,0,1,1:2,-1,3
8,Bayer Leverkusen,B04,2,1,0,1,1:2,-1,3
10,1. FC Köln,KOE,2,1,0,1,5:8,-3,3
11,VfL Wolfsburg,WOB,3,1,0,2,4:7,-3,3
12,Hertha BSC,BSC,2,0,2,0,3:3,0,2
13,FC Augsburg,FCA,2,0,1,1,1:2,-1,1
13,VfB Stuttgart,VFB,2,0,1,1,1:2,-1,1
15,Borussia Dortmund,BVB,2,0,1,1,0:1,-1,1
16,SC Freiburg,SCF,2,0,1,1,5:7,-2,1
17,1. FC Kaiserslautern,FCK,2,0,1,1,1:3,-2,1
18,Hamburger SV,HSV,2,0,0,2,1:8,-7,0
