#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,17,13,4,0,55:9,46,43
2,Borussia Dortmund,BVB,17,13,4,0,41:12,29,43
3,1899 Hoffenheim,TSG,17,11,6,0,35:14,21,39
4,RB Leipzig,RBL,17,12,2,3,35:16,19,38
5,Hertha BSC,BSC,17,12,1,4,28:19,9,37
6,1. FC Köln,KOE,17,9,6,2,29:17,12,33
7,SC Freiburg,SCF,17,10,2,5,23:24,-1,32
8,FC Schalke 04,S04,17,8,5,4,29:15,14,29
9,Eintracht Frankfurt,SGE,17,7,7,3,24:18,6,28
10,Hamburger SV,HSV,17,8,4,5,21:25,-4,28
11,Bor. Mönchengladbach,BMG,17,7,5,5,26:18,8,26
12,1. FSV Mainz 05,M05,17,7,4,6,30:26,4,25
13,Werder Bremen,SVW,17,8,1,8,28:24,4,25
14,Bayer Leverkusen,B04,17,5,6,6,27:28,-1,21
15,FC Augsburg,FCA,17,5,6,6,22:25,-3,21
16,SV Darmstadt 98,D98,17,6,3,8,18:25,-7,21
17,VfL Wolfsburg,WOB,17,5,3,9,15:25,-10,18
18,FC Ingolstadt 04,FCI,17,4,5,8,21:30,-9,17
