#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,RB Leipzig,RBL,15,12,1,2,31:11,20,37
2,Bayern München,FCB,14,11,3,0,48:6,42,36
3,Borussia Dortmund,BVB,14,11,3,0,35:8,27,36
4,1899 Hoffenheim,TSG,15,10,5,0,34:14,20,35
5,Hertha BSC,BSC,14,11,1,2,24:9,15,34
6,FC Schalke 04,S04,15,8,3,4,27:13,14,27
7,1. FC Köln,KOE,14,7,5,2,22:13,9,26
8,SC Freiburg,SCF,14,8,1,5,18:22,-4,25
9,Bor. Mönchengladbach,BMG,14,7,3,4,21:12,9,24
10,Eintracht Frankfurt,SGE,14,6,6,2,19:13,6,24
11,Hamburger SV,HSV,14,7,3,4,18:22,-4,24
12,Werder Bremen,SVW,15,7,1,7,23:19,4,22
13,1. FSV Mainz 05,M05,15,6,4,5,25:22,3,22
14,Bayer Leverkusen,B04,15,5,5,5,24:22,2,20
15,SV Darmstadt 98,D98,15,5,3,7,15:23,-8,18
16,VfL Wolfsburg,WOB,15,5,2,8,14:18,-4,17
17,FC Augsburg,FCA,15,4,5,6,17:24,-7,17
18,FC Ingolstadt 04,FCI,14,4,3,7,17:24,-7,15
