#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Hansa Rostock,ROS,2,2,0,0,6:0,6,6
2,VfL Bochum,BOC,2,2,0,0,7:3,4,6
3,Bayern München,FCB,2,1,1,0,3:0,3,4
4,FC Schalke 04,S04,1,1,0,0,3:1,2,3
4,TSV 1860 München,M60,1,1,0,0,3:1,2,3
6,Hertha BSC,BSC,2,0,2,0,2:2,0,2
7,Bayer Leverkusen,B04,1,0,1,0,1:1,0,1
7,Borussia Dortmund,BVB,1,0,1,0,1:1,0,1
9,VfB Stuttgart,VFB,2,0,1,1,2:4,-2,1
10,1. FC Kaiserslautern,FCK,2,0,1,1,1:4,-3,1
11,Hamburger SV,HSV,1,0,0,1,1:2,-1,0
12,Bor. Mönchengladbach,BMG,1,0,0,1,0:1,-1,0
13,1. FC Nürnberg,FCN,1,0,0,1,0:2,-2,0
13,VfL Wolfsburg,WOB,2,0,0,2,0:2,-2,0
15,Hannover 96,H96,2,0,0,2,2:5,-3,0
16,Arminia Bielefeld,DSC,1,0,0,1,2:6,-4,0
17,Energie Cottbus,FCE,1,0,0,1,0:5,-5,0
18,Werder Bremen,SVW,2,0,0,2,0:6,-6,0
