#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,4,4,0,0,13:3,10,12
2,Werder Bremen,SVW,4,3,1,0,13:4,9,10
3,Hamburger SV,HSV,4,3,1,0,9:2,7,10
4,FC Schalke 04,S04,4,2,2,0,6:4,2,8
5,Hertha BSC,BSC,4,2,1,1,7:5,2,7
6,Hannover 96,H96,4,1,3,0,6:4,2,6
7,1. FC Köln,KOE,4,2,0,2,7:7,0,6
8,1. FC Kaiserslautern,FCK,4,2,0,2,10:12,-2,6
9,Borussia Dortmund,BVB,4,1,2,1,6:6,0,5
10,VfL Wolfsburg,WOB,4,1,2,1,5:7,-2,5
11,Bor. Mönchengladbach,BMG,4,1,2,1,4:6,-2,5
12,Bayer Leverkusen,B04,4,1,1,2,8:9,-1,4
13,Arminia Bielefeld,DSC,4,1,1,2,5:8,-3,4
14,VfB Stuttgart,VFB,4,0,3,1,5:6,-1,3
15,Eintracht Frankfurt,SGE,4,1,0,3,2:8,-6,3
16,MSV Duisburg,MSV,4,0,2,2,6:9,-3,2
17,1. FC Nürnberg,FCN,4,0,1,3,2:7,-5,1
18,1. FSV Mainz 05,M05,4,0,0,4,1:8,-7,0
