#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,22,17,4,1,42:15,27,55
2,Hamburger SV,HSV,22,14,5,3,35:15,20,47
3,Werder Bremen,SVW,22,14,4,4,52:25,27,46
4,FC Schalke 04,S04,22,11,9,2,31:17,14,42
5,Hannover 96,H96,22,6,12,4,32:27,5,30
6,VfB Stuttgart,VFB,22,6,12,4,24:21,3,30
7,Hertha BSC,BSC,22,7,9,6,31:29,2,30
8,Bor. Mönchengladbach,BMG,22,7,9,6,28:27,1,30
9,Borussia Dortmund,BVB,22,7,8,7,28:27,1,29
10,Bayer Leverkusen,B04,22,7,7,8,37:37,0,28
11,Eintracht Frankfurt,SGE,22,7,4,11,28:33,-5,25
12,Arminia Bielefeld,DSC,22,6,6,10,25:32,-7,24
13,VfL Wolfsburg,WOB,22,5,7,10,23:39,-16,22
14,1. FC Nürnberg,FCN,22,5,6,11,24:36,-12,21
15,1. FSV Mainz 05,M05,22,5,5,12,32:36,-4,20
16,1. FC Kaiserslautern,FCK,22,5,5,12,31:50,-19,20
17,MSV Duisburg,MSV,22,3,8,11,21:39,-18,17
18,1. FC Köln,KOE,22,3,6,13,28:47,-19,15
