#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,3,3,0,0,10:0,10,9
2,Arminia Bielefeld,DSC,3,2,1,0,7:3,4,7
3,VfL Bochum,BOC,3,2,1,0,6:4,2,7
4,Eintracht Frankfurt,SGE,3,2,1,0,4:2,2,7
5,Hamburger SV,HSV,3,2,0,1,3:2,1,6
6,FC Schalke 04,S04,3,1,2,0,7:4,3,5
7,Bayer Leverkusen,B04,3,1,1,1,3:1,2,4
8,VfL Wolfsburg,WOB,3,1,1,1,5:5,0,4
9,VfB Stuttgart,VFB,3,1,1,1,4:5,-1,4
10,Werder Bremen,SVW,3,1,1,1,3:6,-3,4
11,MSV Duisburg,MSV,3,1,0,2,4:5,-1,3
12,Hertha BSC,BSC,3,1,0,2,3:4,-1,3
13,Borussia Dortmund,BVB,3,1,0,2,5:7,-2,3
14,Karlsruher SC,KSC,3,1,0,2,3:5,-2,3
15,1. FC Nürnberg,FCN,3,1,0,2,2:4,-2,3
16,Hannover 96,H96,3,1,0,2,2:5,-3,3
17,Energie Cottbus,FCE,3,0,1,2,1:5,-4,1
18,FC Hansa Rostock,ROS,3,0,0,3,1:6,-5,0
