#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,17,10,6,1,31:8,23,36
2,Werder Bremen,SVW,17,11,3,3,42:24,18,36
3,Hamburger SV,HSV,17,9,5,3,24:13,11,32
4,Bayer Leverkusen,B04,17,9,3,5,32:16,16,30
5,FC Schalke 04,S04,17,7,8,2,26:17,9,29
6,Karlsruher SC,KSC,17,8,4,5,19:21,-2,28
7,Hannover 96,H96,17,8,3,6,27:28,-1,27
8,VfB Stuttgart,VFB,17,8,1,8,24:25,-1,25
9,Eintracht Frankfurt,SGE,17,5,8,4,19:23,-4,23
10,Borussia Dortmund,BVB,17,6,3,8,26:30,-4,21
11,VfL Wolfsburg,WOB,17,5,5,7,30:30,0,20
12,Hertha BSC,BSC,17,6,2,9,19:24,-5,20
13,VfL Bochum,BOC,17,5,4,8,25:27,-2,19
14,Arminia Bielefeld,DSC,17,5,3,9,19:38,-19,18
15,FC Hansa Rostock,ROS,17,5,2,10,16:26,-10,17
16,1. FC Nürnberg,FCN,17,4,3,10,21:28,-7,15
17,Energie Cottbus,FCE,17,3,6,8,17:27,-10,15
18,MSV Duisburg,MSV,17,4,1,12,14:26,-12,13
