#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,17,10,3,4,28:13,15,33
2,Bayer Leverkusen,B04,17,8,6,3,28:15,13,30
3,1. FC Kaiserslautern,FCK,17,6,3,8,18:29,-11,21
4,Werder Bremen,SVW,17,6,2,9,18:23,-5,20
5,FC Schalke 04,S04,17,5,5,7,21:31,-10,20
6,VfL Wolfsburg,WOB,17,5,5,7,19:32,-13,20
7,Hertha BSC,BSC,17,4,7,6,21:22,-1,19
8,SC Freiburg,SCF,17,5,3,9,19:26,-7,18
9,Hamburger SV,HSV,17,4,6,7,22:32,-10,18
10,1. FC Nürnberg,FCN,17,4,5,8,17:27,-10,17
11,MSV Duisburg,MSV,17,4,5,8,16:27,-11,17
12,TSV 1860 München,M60,17,4,4,9,21:33,-12,16
13,Borussia Dortmund,BVB,17,2,7,8,13:24,-11,13
14,Eintracht Frankfurt,SGE,17,3,4,10,18:33,-15,13
15,FC Hansa Rostock,ROS,17,2,5,10,19:36,-17,11
16,VfL Bochum,BOC,17,2,5,10,19:37,-18,11
17,VfB Stuttgart,VFB,17,1,7,9,16:33,-17,10
18,Bor. Mönchengladbach,BMG,17,0,5,12,16:44,-28,5
