#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1. FC Kaiserslautern,FCK,1,1,0,0,2:1,1,3
1,SC Freiburg,SCF,1,1,0,0,2:1,1,3
3,Bayern München,FCB,1,1,0,0,1:0,1,3
4,Hamburger SV,HSV,1,0,1,0,1:1,0,1
5,1. FC Nürnberg,FCN,0,0,0,0,0:0,0,0
5,Bayer Leverkusen,B04,0,0,0,0,0:0,0,0
5,Bor. Mönchengladbach,BMG,0,0,0,0,0:0,0,0
5,Hertha BSC,BSC,0,0,0,0,0:0,0,0
5,MSV Duisburg,MSV,0,0,0,0,0:0,0,0
5,TSV 1860 München,M60,0,0,0,0,0:0,0,0
5,VfB Stuttgart,VFB,0,0,0,0,0:0,0,0
5,VfL Bochum,BOC,0,0,0,0,0:0,0,0
5,VfL Wolfsburg,WOB,0,0,0,0,0:0,0,0
14,Borussia Dortmund,BVB,1,0,0,1,1:2,-1,0
14,Eintracht Frankfurt,SGE,1,0,0,1,1:2,-1,0
16,Werder Bremen,SVW,1,0,0,1,0:1,-1,0
17,FC Hansa Rostock,ROS,1,0,0,1,1:3,-2,0
18,FC Schalke 04,S04,1,0,0,1,0:3,-3,0
