#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,TSV 1860 München,M60,4,3,1,0,10:4,6,10
2,Bayern München,FCB,3,3,0,0,4:0,4,9
3,SC Freiburg,SCF,3,2,1,0,5:2,3,7
4,VfL Bochum,BOC,3,2,0,1,4:3,1,6
5,Bayer Leverkusen,B04,3,1,2,0,4:3,1,5
6,Hamburger SV,HSV,4,1,2,1,6:7,-1,5
7,1. FC Kaiserslautern,FCK,4,1,2,1,5:8,-3,5
8,1. FC Nürnberg,FCN,3,1,1,1,7:7,0,4
9,VfB Stuttgart,VFB,4,1,1,2,4:6,-2,4
10,FC Schalke 04,S04,4,1,1,2,2:6,-4,4
11,Werder Bremen,SVW,4,1,0,3,5:7,-2,3
12,VfL Wolfsburg,WOB,3,0,2,1,5:6,-1,2
13,Borussia Dortmund,BVB,4,0,2,2,4:7,-3,2
14,Eintracht Frankfurt,SGE,4,0,2,2,3:6,-3,2
15,MSV Duisburg,MSV,3,0,1,2,3:8,-5,1
16,Bor. Mönchengladbach,BMG,4,0,1,3,5:11,-6,1
17,Hertha BSC,BSC,3,0,0,3,3:9,-6,0
18,FC Hansa Rostock,ROS,3,0,0,3,2:10,-8,0
