#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,15,12,3,0,37:3,34,39
2,VfL Wolfsburg,WOB,15,9,3,3,29:14,15,30
3,Bayer Leverkusen,B04,15,6,6,3,26:19,7,24
4,Bor. Mönchengladbach,BMG,15,6,6,3,20:13,7,24
5,FC Augsburg,FCA,15,8,0,7,20:18,2,24
6,FC Schalke 04,S04,15,7,2,6,26:20,6,23
7,1899 Hoffenheim,TSG,15,6,5,4,24:24,0,23
8,Eintracht Frankfurt,SGE,15,6,3,6,29:29,0,21
9,Hannover 96,H96,15,6,2,7,17:24,-7,20
10,SC Paderborn 07,SCP,15,4,6,5,20:24,-4,18
11,1. FC Köln,KOE,15,5,3,7,16:21,-5,18
12,1. FSV Mainz 05,M05,15,3,8,4,18:21,-3,17
13,Hertha BSC,BSC,15,5,2,8,20:26,-6,17
14,Hamburger SV,HSV,15,4,4,7,9:18,-9,16
15,SC Freiburg,SCF,15,2,8,5,15:21,-6,14
16,Borussia Dortmund,BVB,15,4,2,9,15:22,-7,14
17,Werder Bremen,SVW,15,3,5,7,23:34,-11,14
18,VfB Stuttgart,VFB,15,3,4,8,19:32,-13,13
