#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,10,7,3,0,30:10,20,24
2,Bor. Mönchengladbach,BMG,10,6,2,2,23:12,11,20
3,Bayern München,FCB,10,6,2,2,18:11,7,20
4,RB Leipzig,RBL,10,5,4,1,19:9,10,19
5,Eintracht Frankfurt,SGE,10,5,2,3,23:13,10,17
6,Werder Bremen,SVW,10,5,2,3,18:16,2,17
7,1899 Hoffenheim,TSG,10,5,1,4,22:14,8,16
8,Hertha BSC,BSC,10,4,4,2,15:13,2,16
9,FC Augsburg,FCA,10,3,4,3,18:16,2,13
10,SC Freiburg,SCF,10,3,4,3,14:16,-2,13
11,VfL Wolfsburg,WOB,10,3,3,4,14:15,-1,12
12,1. FSV Mainz 05,M05,10,3,3,4,7:11,-4,12
13,Bayer Leverkusen,B04,10,3,2,5,16:21,-5,11
14,FC Schalke 04,S04,10,3,1,6,8:12,-4,10
15,1. FC Nürnberg,FCN,10,2,4,4,11:22,-11,10
16,Hannover 96,H96,10,1,3,6,12:21,-9,6
17,Fortuna Düsseldorf,F95,10,1,2,7,6:24,-18,5
17,VfB Stuttgart,VFB,10,1,2,7,6:24,-18,5
