#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,8,6,2,0,27:8,19,20
2,Bor. Mönchengladbach,BMG,8,5,2,1,19:9,10,17
3,Werder Bremen,SVW,8,5,2,1,15:8,7,17
4,Bayern München,FCB,8,5,1,2,15:9,6,16
5,RB Leipzig,RBL,8,4,3,1,16:9,7,15
6,Hertha BSC,BSC,8,4,3,1,13:8,5,15
7,Eintracht Frankfurt,SGE,8,4,1,3,19:12,7,13
8,1899 Hoffenheim,TSG,8,3,1,4,14:13,1,10
9,FC Augsburg,FCA,8,2,3,3,14:13,1,9
10,VfL Wolfsburg,WOB,8,2,3,3,11:14,-3,9
11,SC Freiburg,SCF,8,2,3,3,10:14,-4,9
12,1. FSV Mainz 05,M05,8,2,3,3,4:8,-4,9
13,Bayer Leverkusen,B04,8,2,2,4,9:15,-6,8
14,1. FC Nürnberg,FCN,8,2,2,4,8:19,-11,8
15,Hannover 96,H96,8,1,3,4,10:16,-6,6
16,FC Schalke 04,S04,8,2,0,6,5:11,-6,6
17,VfB Stuttgart,VFB,8,1,2,5,6:17,-11,5
18,Fortuna Düsseldorf,F95,8,1,2,5,6:18,-12,5
