#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,RB Leipzig,RBL,11,9,1,1,21:7,14,28
2,Bayern München,FCB,10,7,3,0,37:15,22,24
3,VfL Wolfsburg,WOB,10,6,4,0,17:8,9,22
4,Eintracht Frankfurt,SGE,10,5,5,0,19:11,8,20
5,SC Freiburg,SCF,11,5,4,2,24:16,8,19
6,Bayer Leverkusen,B04,11,5,4,2,23:15,8,19
7,Bor. Mönchengladbach,BMG,11,5,4,2,19:13,6,19
8,1. FC Union Berlin,FCU,11,4,6,1,21:12,9,18
9,Borussia Dortmund,BVB,10,5,2,3,22:14,8,17
10,Arminia Bielefeld,DSC,11,4,0,7,10:18,-8,12
11,1899 Hoffenheim,TSG,10,3,2,5,16:16,0,11
12,FC Augsburg,FCA,11,3,2,6,11:19,-8,11
13,Werder Bremen,SVW,10,2,4,4,9:13,-4,10
14,VfB Stuttgart,VFB,10,1,6,3,14:16,-2,9
15,Hertha BSC,BSC,10,2,2,6,11:20,-9,8
16,1. FSV Mainz 05,M05,11,2,2,7,10:19,-9,8
17,1. FC Köln,KOE,10,1,3,6,11:19,-8,6
18,FC Schalke 04,S04,11,1,2,8,8:22,-14,5
