#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,17,13,4,0,64:21,43,43
2,Eintracht Frankfurt,SGE,17,10,7,0,37:20,17,37
3,RB Leipzig,RBL,17,11,4,2,29:13,16,37
4,Borussia Dortmund,BVB,17,11,2,4,40:20,20,35
5,VfL Wolfsburg,WOB,17,10,4,3,32:16,16,34
6,1. FC Union Berlin,FCU,17,8,8,1,32:18,14,32
7,Bayer Leverkusen,B04,17,8,5,4,34:22,12,29
8,Bor. Mönchengladbach,BMG,17,8,4,5,32:19,13,28
9,SC Freiburg,SCF,17,7,6,4,33:23,10,27
10,1899 Hoffenheim,TSG,17,8,3,6,32:24,8,27
11,FC Augsburg,FCA,17,6,4,7,21:25,-4,22
12,VfB Stuttgart,VFB,17,5,6,6,27:26,1,21
13,Hertha BSC,BSC,17,5,5,7,21:26,-5,20
14,Arminia Bielefeld,DSC,17,6,2,9,13:23,-10,20
15,1. FSV Mainz 05,M05,17,4,4,9,16:26,-10,16
16,1. FC Köln,KOE,17,3,5,9,20:31,-11,14
17,Werder Bremen,SVW,17,3,5,9,16:28,-12,14
18,FC Schalke 04,S04,17,3,3,11,14:34,-20,12
