#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,14,12,1,1,42:13,29,37
2,Bayern München,FCB,15,10,5,0,46:14,32,35
3,RB Leipzig,RBL,15,11,2,2,32:15,17,35
4,1. FC Union Berlin,FCU,15,9,6,0,25:9,16,33
5,SC Freiburg,SCF,15,9,4,2,26:12,14,31
6,Bor. Mönchengladbach,BMG,15,8,3,4,29:18,11,27
7,Bayer Leverkusen,B04,15,8,2,5,32:19,13,26
8,Eintracht Frankfurt,SGE,15,7,5,3,30:17,13,26
9,1. FSV Mainz 05,M05,15,6,6,3,28:18,10,24
10,VfL Wolfsburg,WOB,15,5,7,3,31:22,9,22
11,1. FC Köln,KOE,15,5,5,5,22:16,6,20
12,VfL Bochum,BOC,15,6,2,7,22:30,-8,20
13,VfB Stuttgart,VFB,15,5,4,6,21:20,1,19
14,FC Augsburg,FCA,15,5,4,6,15:21,-6,19
15,FC Schalke 04,S04,16,5,4,7,21:34,-13,19
16,Hertha BSC,BSC,15,4,5,6,21:25,-4,17
17,1899 Hoffenheim,TSG,15,5,2,8,21:26,-5,17
18,Werder Bremen,SVW,15,5,1,9,24:25,-1,16
