#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1. FC Köln,KOE,1,1,0,0,3:1,2,3
1,1. FC Union Berlin,FCU,1,1,0,0,3:1,2,3
1,Bor. Mönchengladbach,BMG,1,1,0,0,3:1,2,3
4,Bayern München,FCB,1,1,0,0,2:0,2,3
5,1899 Hoffenheim,TSG,1,1,0,0,3:2,1,3
6,Borussia Dortmund,BVB,1,1,0,0,1:0,1,3
7,FC Schalke 04,S04,1,0,1,0,2:2,0,1
7,RB Leipzig,RBL,1,0,1,0,2:2,0,1
7,VfL Wolfsburg,WOB,1,0,1,0,2:2,0,1
7,Werder Bremen,SVW,1,0,1,0,2:2,0,1
11,Hertha BSC,BSC,1,0,1,0,1:1,0,1
11,VfB Stuttgart,VFB,1,0,1,0,1:1,0,1
13,1. FSV Mainz 05,M05,1,0,1,0,0:0,0,1
14,Bayer Leverkusen,B04,1,0,0,1,1:2,-1,0
14,VfL Bochum,BOC,1,0,0,1,1:2,-1,0
16,SC Freiburg,SCF,1,0,0,1,1:3,-2,0
17,FC Augsburg,FCA,1,0,0,1,0:4,-4,0
18,Eintracht Frankfurt,SGE,1,0,0,1,1:6,-5,0
