#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,8,2,3,23:9,14,26
2,Bayer Leverkusen,B04,13,7,4,2,25:12,13,25
3,1. FC Kaiserslautern,FCK,12,5,3,4,14:19,-5,18
4,Werder Bremen,SVW,12,5,2,5,14:13,1,17
5,VfL Wolfsburg,WOB,13,4,5,4,14:19,-5,17
6,TSV 1860 München,M60,13,4,4,5,19:22,-3,16
7,Hertha BSC,BSC,13,3,4,6,16:19,-3,13
8,Hamburger SV,HSV,13,3,4,6,13:21,-8,13
9,SC Freiburg,SCF,13,3,3,7,14:20,-6,12
10,1. FC Nürnberg,FCN,14,3,3,8,12:25,-13,12
11,VfL Bochum,BOC,14,2,5,7,16:27,-11,11
12,MSV Duisburg,MSV,14,2,5,7,12:24,-12,11
13,FC Schalke 04,S04,13,2,5,6,12:25,-13,11
14,VfB Stuttgart,VFB,13,1,6,6,10:21,-11,9
15,Borussia Dortmund,BVB,12,1,5,6,8:18,-10,8
16,Eintracht Frankfurt,SGE,13,1,4,8,12:25,-13,7
17,FC Hansa Rostock,ROS,13,1,3,9,13:29,-16,6
18,Bor. Mönchengladbach,BMG,13,0,5,8,11:30,-19,5
