#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,5,4,0,1,7:2,5,12
2,Bayer Leverkusen,B04,5,3,2,0,15:7,8,11
3,TSV 1860 München,M60,5,3,2,0,11:5,6,11
4,SC Freiburg,SCF,5,3,2,0,9:5,4,11
5,1. FC Nürnberg,FCN,5,2,1,2,9:10,-1,7
6,VfL Wolfsburg,WOB,5,1,3,1,9:9,0,6
7,VfL Bochum,BOC,5,2,0,3,7:9,-2,6
8,Hamburger SV,HSV,5,1,2,2,7:9,-2,5
9,VfB Stuttgart,VFB,5,1,2,2,6:8,-2,5
10,FC Schalke 04,S04,5,1,2,2,4:8,-4,5
11,1. FC Kaiserslautern,FCK,5,1,2,2,5:12,-7,5
12,Werder Bremen,SVW,5,1,1,3,6:8,-2,4
13,Borussia Dortmund,BVB,5,0,3,2,6:9,-3,3
14,Eintracht Frankfurt,SGE,5,0,2,3,3:8,-5,2
15,Hertha BSC,BSC,5,0,2,3,3:9,-6,2
16,MSV Duisburg,MSV,5,0,2,3,5:13,-8,2
17,Bor. Mönchengladbach,BMG,5,0,1,4,6:13,-7,1
18,FC Hansa Rostock,ROS,5,0,0,5,4:15,-11,0
