#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,11,2,0,44:9,35,35
2,Bayer Leverkusen,B04,13,11,2,0,38:11,27,35
3,VfB Stuttgart,VFB,13,10,0,3,33:15,18,30
4,RB Leipzig,RBL,13,8,2,3,31:13,18,26
5,Borussia Dortmund,BVB,13,7,4,2,26:20,6,25
6,1899 Hoffenheim,TSG,13,6,2,5,25:23,2,20
7,Eintracht Frankfurt,SGE,13,4,6,3,19:15,4,18
8,SC Freiburg,SCF,13,5,3,5,16:23,-7,18
9,FC Augsburg,FCA,13,4,5,4,23:25,-2,17
10,Bor. Mönchengladbach,BMG,13,4,4,5,27:28,-1,16
11,VfL Wolfsburg,WOB,13,5,1,7,18:24,-6,16
12,VfL Bochum,BOC,13,2,7,4,14:26,-12,13
13,Werder Bremen,SVW,13,3,2,8,18:27,-9,11
14,1. FC Heidenheim 1846,HDH,13,3,2,8,18:28,-10,11
15,1. FC Köln,KOE,13,2,3,8,10:24,-14,9
16,SV Darmstadt 98,D98,13,2,3,8,15:34,-19,9
17,1. FSV Mainz 05,M05,13,1,5,7,12:26,-14,8
18,1. FC Union Berlin,FCU,13,2,1,10,12:28,-16,7
