#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,3,2,1,0,8:2,6,7
2,Hamburger SV,HSV,3,2,1,0,9:4,5,7
3,FC Schalke 04,S04,3,2,1,0,5:1,4,7
4,VfL Wolfsburg,WOB,3,2,0,1,7:5,2,6
5,1. FSV Mainz 05,M05,3,1,2,0,5:4,1,5
6,Eintracht Frankfurt,SGE,3,1,2,0,4:3,1,5
7,Werder Bremen,SVW,3,1,1,1,6:4,2,4
8,Hannover 96,H96,3,1,1,1,3:2,1,4
9,VfB Stuttgart,VFB,3,1,1,1,5:5,0,4
10,Bor. Mönchengladbach,BMG,3,1,1,1,5:7,-2,4
11,VfL Bochum,BOC,3,1,1,1,4:6,-2,4
12,Borussia Dortmund,BVB,3,1,1,1,3:5,-2,4
13,Hertha BSC,BSC,3,1,0,2,2:3,-1,3
14,Bayern München,FCB,3,0,2,1,3:4,-1,2
15,1899 Hoffenheim,TSG,3,0,2,1,1:2,-1,2
16,1. FC Nürnberg,FCN,3,0,1,2,2:5,-3,1
17,1. FC Köln,KOE,3,0,1,2,1:4,-3,1
18,SC Freiburg,SCF,3,0,1,2,3:10,-7,1
