#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,RB Leipzig,RBL,4,2,2,0,8:3,5,8
2,1899 Hoffenheim,TSG,4,2,2,0,10:6,4,8
3,Bayern München,FCB,3,2,1,0,5:2,3,7
4,1. FSV Mainz 05,M05,5,2,1,2,6:7,-1,7
5,Eintracht Frankfurt,SGE,4,2,0,2,5:2,3,6
6,1. FC Köln,KOE,4,1,2,1,5:4,1,5
7,Hertha BSC,BSC,4,1,2,1,6:7,-1,5
8,Borussia Dortmund,BVB,4,1,1,2,8:7,1,4
9,FC Augsburg,FCA,4,1,1,2,4:5,-1,4
9,VfL Wolfsburg,WOB,4,1,1,2,4:5,-1,4
11,Bayer Leverkusen,B04,4,1,0,3,6:8,-2,3
12,FC Schalke 04,S04,4,0,1,3,2:6,-4,1
13,FC Ingolstadt 04,FCI,4,0,1,3,3:8,-5,1
14,Hamburger SV,HSV,4,0,1,3,1:6,-5,1
15,Bor. Mönchengladbach,BMG,4,0,1,3,2:10,-8,1
16,Werder Bremen,SVW,4,0,1,3,4:15,-11,1
17,SC Freiburg,SCF,4,0,0,4,3:10,-7,0
18,SV Darmstadt 98,D98,4,0,0,4,1:11,-10,0
