#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,28,25,3,0,82:16,66,78
2,Borussia Dortmund,BVB,28,17,4,7,62:31,31,55
3,FC Schalke 04,S04,28,16,6,6,53:37,16,54
4,Bayer Leverkusen,B04,28,15,3,10,47:34,13,48
5,VfL Wolfsburg,WOB,28,14,5,9,48:42,6,47
6,Bor. Mönchengladbach,BMG,28,13,6,9,49:34,15,45
7,1. FSV Mainz 05,M05,28,13,5,10,41:43,-2,44
8,FC Augsburg,FCA,28,11,6,11,40:43,-3,39
9,1899 Hoffenheim,TSG,28,9,9,10,63:62,1,36
10,Hertha BSC,BSC,28,10,6,12,36:39,-3,36
11,Eintracht Frankfurt,SGE,28,8,8,12,35:48,-13,32
12,Werder Bremen,SVW,28,8,8,12,33:54,-21,32
13,Hannover 96,H96,28,8,5,15,36:51,-15,29
14,SC Freiburg,SCF,28,7,8,13,33:50,-17,29
15,1. FC Nürnberg,FCN,28,5,11,12,34:52,-18,26
16,VfB Stuttgart,VFB,28,6,6,16,42:57,-15,24
17,Hamburger SV,HSV,28,6,6,16,43:59,-16,24
18,Eintracht Braunschweig,BNS,28,5,7,16,25:50,-25,22
