#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,6,0,2,18:8,10,18
2,Borussia Dortmund,BVB,8,5,2,1,15:7,8,17
3,Eintracht Frankfurt,SGE,9,4,2,3,15:12,3,14
4,VfL Wolfsburg,WOB,7,4,1,2,11:6,5,13
5,1899 Hoffenheim,TSG,8,3,3,2,18:14,4,12
6,Bayer Leverkusen,B04,9,3,2,4,13:15,-2,11
7,Werder Bremen,SVW,7,3,1,3,11:10,1,10
8,Bor. Mönchengladbach,BMG,8,2,3,3,12:13,-1,9
9,Hertha BSC,BSC,8,2,3,3,11:13,-2,9
10,FC Augsburg,FCA,9,2,2,5,12:15,-3,8
11,RB Leipzig,RBL,8,2,2,4,7:11,-4,8
12,1. FSV Mainz 05,M05,7,2,1,4,6:12,-6,7
13,FC Schalke 04,S04,8,1,3,4,6:10,-4,6
14,SC Freiburg,SCF,7,1,2,4,7:14,-7,5
15,Hannover 96,H96,9,0,4,5,10:21,-11,4
16,VfB Stuttgart,VFB,9,1,1,7,6:20,-14,4
17,Fortuna Düsseldorf,F95,7,0,3,4,6:20,-14,3
18,1. FC Nürnberg,FCN,8,0,2,6,5:27,-22,2
