#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,13,8,2,3,23:15,8,26
2,Werder Bremen,SVW,13,7,3,3,33:18,15,24
3,VfB Stuttgart,VFB,13,7,3,3,26:19,7,24
4,Bayern München,FCB,13,7,2,4,21:16,5,23
5,Hertha BSC,BSC,13,5,6,2,23:18,5,21
6,Arminia Bielefeld,DSC,13,5,5,3,22:14,8,20
7,Borussia Dortmund,BVB,13,4,6,3,17:15,2,18
8,VfL Wolfsburg,WOB,13,4,6,3,9:10,-1,18
9,1. FC Nürnberg,FCN,13,3,8,2,17:14,3,17
10,Eintracht Frankfurt,SGE,13,3,7,3,16:18,-2,16
10,Energie Cottbus,FCE,13,4,4,5,16:18,-2,16
12,Bayer Leverkusen,B04,13,4,3,6,21:21,0,15
13,Alemannia Aachen,AAC,13,4,3,6,20:24,-4,15
14,Bor. Mönchengladbach,BMG,13,4,1,8,11:18,-7,13
15,Hannover 96,H96,13,3,4,6,12:22,-10,13
16,VfL Bochum,BOC,13,3,3,7,17:26,-9,12
17,Hamburger SV,HSV,13,1,8,4,11:15,-4,11
18,1. FSV Mainz 05,M05,13,1,6,6,10:24,-14,9
