#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,21,17,3,1,55:7,48,54
2,Borussia Dortmund,BVB,21,11,6,4,47:26,21,39
3,Bayer Leverkusen,B04,21,11,5,5,41:29,12,38
4,Eintracht Frankfurt,SGE,21,11,4,6,38:31,7,37
5,SC Freiburg,SCF,21,8,7,6,26:20,6,31
6,1. FSV Mainz 05,M05,21,9,4,8,28:25,3,31
7,Hamburger SV,HSV,21,9,4,8,26:27,-1,31
8,Bor. Mönchengladbach,BMG,21,7,9,5,31:32,-1,30
9,Hannover 96,H96,21,9,2,10,39:39,0,29
10,FC Schalke 04,S04,21,8,5,8,33:35,-2,29
11,Werder Bremen,SVW,21,8,4,9,36:38,-2,28
12,VfL Wolfsburg,WOB,21,7,5,9,22:30,-8,26
13,1. FC Nürnberg,FCN,21,6,7,8,20:27,-7,25
14,VfB Stuttgart,VFB,21,7,4,10,23:39,-16,25
15,Fortuna Düsseldorf,F95,21,6,6,9,26:29,-3,24
16,1899 Hoffenheim,TSG,21,4,4,13,26:45,-19,16
17,FC Augsburg,FCA,21,2,9,10,17:33,-16,15
18,SpVgg Greuther Fürth,SGF,21,2,6,13,13:35,-22,12
