#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,23,19,3,1,63:8,55,60
2,Borussia Dortmund,BVB,23,12,7,4,51:27,24,43
3,Bayer Leverkusen,B04,23,12,6,5,43:30,13,42
4,Eintracht Frankfurt,SGE,23,11,5,7,38:34,4,38
5,SC Freiburg,SCF,23,9,8,6,29:22,7,35
6,Hamburger SV,HSV,23,10,4,9,28:32,-4,34
7,Hannover 96,H96,23,10,3,10,46:42,4,33
8,1. FSV Mainz 05,M05,23,9,6,8,31:28,3,33
9,FC Schalke 04,S04,23,9,6,8,37:38,-1,33
10,Bor. Mönchengladbach,BMG,23,7,10,6,32:34,-2,31
11,VfB Stuttgart,VFB,23,8,5,10,25:40,-15,29
12,Werder Bremen,SVW,23,8,4,11,39:47,-8,28
13,Fortuna Düsseldorf,F95,23,7,6,10,28:31,-3,27
14,1. FC Nürnberg,FCN,23,6,9,8,23:30,-7,27
15,VfL Wolfsburg,WOB,23,7,6,10,23:33,-10,27
16,FC Augsburg,FCA,23,3,9,11,20:36,-16,18
17,1899 Hoffenheim,TSG,23,4,4,15,27:48,-21,16
18,SpVgg Greuther Fürth,SGF,23,2,7,14,13:36,-23,13
