#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,34,24,5,5,75:33,42,77
2,FC Schalke 04,S04,34,20,3,11,56:46,10,63
3,Werder Bremen,SVW,34,18,5,11,68:37,31,59
4,Hertha BSC,BSC,34,15,13,6,59:31,28,58
5,VfB Stuttgart,VFB,34,17,7,10,54:40,14,58
6,Bayer Leverkusen,B04,34,16,9,9,65:44,21,57
7,Borussia Dortmund,BVB,34,15,10,9,47:44,3,55
8,Hamburger SV,HSV,34,16,3,15,55:50,5,51
9,VfL Wolfsburg,WOB,34,15,3,16,49:51,-2,48
10,Hannover 96,H96,34,13,6,15,34:36,-2,45
11,1. FSV Mainz 05,M05,34,12,7,15,50:55,-5,43
12,1. FC Kaiserslautern,FCK,34,12,6,16,43:52,-9,42
13,Arminia Bielefeld,DSC,34,11,7,16,37:49,-12,40
14,1. FC Nürnberg,FCN,34,10,8,16,55:63,-8,38
15,Bor. Mönchengladbach,BMG,34,8,12,14,35:51,-16,36
16,VfL Bochum,BOC,34,9,8,17,47:68,-21,35
17,FC Hansa Rostock,ROS,34,7,9,18,31:65,-34,30
18,SC Freiburg,SCF,34,3,9,22,30:75,-45,18
