#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,20,12,3,5,43:23,20,39
2,FC Schalke 04,S04,20,11,4,5,40:23,17,37
3,Bayer Leverkusen,B04,20,11,4,5,34:22,12,37
4,Borussia Dortmund,BVB,20,11,3,6,31:26,5,36
5,Hertha BSC,BSC,20,11,1,8,42:36,6,34
6,1. FC Kaiserslautern,FCK,20,9,4,7,27:29,-2,31
7,SC Freiburg,SCF,20,8,6,6,28:21,7,30
8,1. FC Köln,KOE,20,8,5,7,38:31,7,29
9,VfL Wolfsburg,WOB,20,7,7,6,37:27,10,28
10,Werder Bremen,SVW,20,7,6,7,28:30,-2,27
11,TSV 1860 München,M60,20,7,6,7,25:33,-8,27
12,Energie Cottbus,FCE,20,7,2,11,26:35,-9,23
13,Eintracht Frankfurt,SGE,20,7,2,11,25:36,-11,23
14,Hamburger SV,HSV,20,6,3,11,37:39,-2,21
15,VfB Stuttgart,VFB,20,5,6,9,31:35,-4,21
16,SpVgg Unterhaching,UNT,20,5,6,9,20:31,-11,21
17,FC Hansa Rostock,ROS,20,6,3,11,19:33,-14,21
18,VfL Bochum,BOC,20,5,3,12,19:40,-21,18
