#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,14,8,4,2,22:14,8,28
2,FC Schalke 04,S04,14,8,3,3,31:14,17,27
3,Hertha BSC,BSC,14,9,0,5,32:21,11,27
4,Bayern München,FCB,14,7,2,5,30:18,12,23
5,Borussia Dortmund,BVB,14,7,2,5,22:24,-2,23
6,1. FC Köln,KOE,14,6,3,5,26:25,1,21
7,1. FC Kaiserslautern,FCK,14,6,2,6,19:20,-1,20
8,Eintracht Frankfurt,SGE,14,6,2,6,19:21,-2,20
9,VfL Wolfsburg,WOB,14,4,6,4,29:21,8,18
10,Hamburger SV,HSV,14,5,3,6,30:27,3,18
11,FC Hansa Rostock,ROS,14,5,3,6,12:22,-10,18
12,Werder Bremen,SVW,14,4,5,5,18:20,-2,17
13,SpVgg Unterhaching,UNT,14,4,5,5,17:22,-5,17
14,SC Freiburg,SCF,14,4,4,6,16:18,-2,16
15,TSV 1860 München,M60,14,3,6,5,17:23,-6,15
16,VfB Stuttgart,VFB,14,3,5,6,20:25,-5,14
17,Energie Cottbus,FCE,14,4,2,8,15:26,-11,14
18,VfL Bochum,BOC,14,3,3,8,11:25,-14,12
