#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,8,6,1,1,22:8,14,19
2,VfB Stuttgart,VFB,8,5,2,1,11:2,9,17
3,Bayern München,FCB,10,4,4,2,18:11,7,16
4,Bayer Leverkusen,B04,10,4,4,2,15:11,4,16
5,FC Schalke 04,S04,9,4,2,3,14:14,0,14
6,Hannover 96,H96,9,3,1,5,14:21,-7,10
7,FC Hansa Rostock,ROS,10,2,3,5,13:20,-7,9
8,Hamburger SV,HSV,10,2,3,5,11:20,-9,9
9,VfL Bochum,BOC,9,2,2,5,14:19,-5,8
10,Bor. Mönchengladbach,BMG,10,2,1,7,10:17,-7,7
11,Hertha BSC,BSC,10,1,4,5,7:21,-14,7
12,1. FC Kaiserslautern,FCK,10,2,1,7,10:25,-15,7
13,TSV 1860 München,M60,8,1,3,4,8:13,-5,6
14,Eintracht Frankfurt,SGE,8,1,1,6,5:13,-8,4
15,Borussia Dortmund,BVB,8,1,1,6,6:15,-9,4
16,VfL Wolfsburg,WOB,9,1,1,7,11:21,-10,4
17,1. FC Köln,KOE,8,0,3,5,5:14,-9,3
18,SC Freiburg,SCF,8,0,2,6,5:19,-14,2
