#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,11,8,2,1,26:9,17,26
2,VfB Stuttgart,VFB,11,6,2,3,13:4,9,20
3,Bayern München,FCB,12,5,4,3,21:13,8,19
4,FC Schalke 04,S04,12,5,3,4,16:17,-1,18
5,Bayer Leverkusen,B04,12,4,5,3,18:16,2,17
6,VfL Bochum,BOC,12,3,4,5,19:22,-3,13
7,Hertha BSC,BSC,13,3,4,6,13:26,-13,13
8,FC Hansa Rostock,ROS,13,2,6,5,17:24,-7,12
9,Borussia Dortmund,BVB,12,3,2,7,14:21,-7,11
10,TSV 1860 München,M60,12,2,4,6,12:19,-7,10
11,Eintracht Frankfurt,SGE,11,3,1,7,9:16,-7,10
12,Hannover 96,H96,12,3,1,8,16:28,-12,10
13,1. FC Kaiserslautern,FCK,13,3,1,9,11:27,-16,10
14,Hamburger SV,HSV,12,2,3,7,11:24,-13,9
15,Bor. Mönchengladbach,BMG,13,2,2,9,12:22,-10,8
16,VfL Wolfsburg,WOB,12,1,1,10,13:29,-16,4
17,1. FC Köln,KOE,12,0,3,9,7:21,-14,3
18,SC Freiburg,SCF,11,0,3,8,8:28,-20,3
