#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,10,7,2,1,24:9,15,23
2,FC Schalke 04,S04,11,5,3,3,16:14,2,18
3,VfB Stuttgart,VFB,10,5,2,3,11:4,7,17
4,Bayer Leverkusen,B04,12,4,5,3,18:16,2,17
5,Bayern München,FCB,11,4,4,3,18:12,6,16
6,Hertha BSC,BSC,12,3,4,5,13:24,-11,13
7,VfL Bochum,BOC,11,3,3,5,18:21,-3,12
8,FC Hansa Rostock,ROS,12,2,5,5,14:21,-7,11
9,TSV 1860 München,M60,11,2,4,5,12:17,-5,10
10,Eintracht Frankfurt,SGE,10,3,1,6,9:15,-6,10
11,Borussia Dortmund,BVB,11,3,1,7,12:19,-7,10
12,Hannover 96,H96,11,3,1,7,16:27,-11,10
13,Hamburger SV,HSV,11,2,3,6,11:21,-10,9
14,Bor. Mönchengladbach,BMG,12,2,2,8,12:21,-9,8
15,1. FC Kaiserslautern,FCK,12,2,1,9,10:27,-17,7
16,VfL Wolfsburg,WOB,11,1,1,9,11:25,-14,4
17,1. FC Köln,KOE,10,0,3,7,5:16,-11,3
18,SC Freiburg,SCF,10,0,3,7,8:25,-17,3
