#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,VfB Stuttgart,VFB,5,4,1,0,9:1,8,13
2,Werder Bremen,SVW,5,4,0,1,13:5,8,12
3,Bayer Leverkusen,B04,6,3,2,1,10:6,4,11
4,Hannover 96,H96,6,3,0,3,10:14,-4,9
5,Bayern München,FCB,6,2,2,2,9:9,0,8
6,VfL Bochum,BOC,6,2,1,3,9:10,-1,7
7,Hertha BSC,BSC,6,1,3,2,4:9,-5,6
8,1. FC Kaiserslautern,FCK,5,2,0,3,6:12,-6,6
9,FC Schalke 04,S04,5,1,2,2,7:10,-3,5
10,TSV 1860 München,M60,5,1,1,3,4:7,-3,4
11,Borussia Dortmund,BVB,5,1,1,3,3:7,-4,4
12,Eintracht Frankfurt,SGE,6,1,1,4,5:11,-6,4
13,FC Hansa Rostock,ROS,6,0,3,3,8:14,-6,3
14,VfL Wolfsburg,WOB,5,1,0,4,6:13,-7,3
15,SC Freiburg,SCF,6,0,2,4,4:12,-8,2
16,Hamburger SV,HSV,6,0,2,4,5:15,-10,2
17,1. FC Köln,KOE,5,0,1,4,2:7,-5,1
18,Bor. Mönchengladbach,BMG,5,0,1,4,3:10,-7,1
