#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,14,9,4,1,21:9,12,31
2,FC Schalke 04,S04,13,9,2,2,23:10,13,29
3,Werder Bremen,SVW,14,9,1,4,28:15,13,28
4,1. FC Nürnberg,FCN,14,7,6,1,24:13,11,27
5,VfB Stuttgart,VFB,13,8,3,2,22:11,11,27
6,Hertha BSC,BSC,13,8,2,3,25:16,9,26
7,Arminia Bielefeld,DSC,14,6,4,4,21:17,4,22
8,Bayer Leverkusen,B04,13,6,3,4,22:16,6,21
9,VfL Wolfsburg,WOB,13,5,6,2,17:13,4,21
10,Bor. Mönchengladbach,BMG,13,5,5,3,14:11,3,20
11,VfL Bochum,BOC,14,6,1,7,18:23,-5,19
12,1. FSV Mainz 05,M05,14,5,4,5,16:23,-7,19
13,Borussia Dortmund,BVB,14,4,6,4,15:15,0,18
14,Alemannia Aachen,AAC,14,5,3,6,25:27,-2,18
15,Hamburger SV,HSV,13,3,8,2,14:10,4,17
16,Energie Cottbus,FCE,14,4,5,5,16:16,0,17
17,Eintracht Frankfurt,SGE,13,4,5,4,15:22,-7,17
18,Hannover 96,H96,13,3,6,4,19:19,0,15
