#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,12,8,3,1,18:8,10,27
2,FC Schalke 04,S04,11,8,2,1,22:8,14,26
3,Hertha BSC,BSC,11,8,2,1,23:12,11,26
4,1. FC Nürnberg,FCN,12,6,5,1,20:10,10,23
5,VfB Stuttgart,VFB,11,7,2,2,19:10,9,23
6,Werder Bremen,SVW,12,7,1,4,23:15,8,22
7,Borussia Dortmund,BVB,12,4,5,3,13:12,1,17
8,Arminia Bielefeld,DSC,12,4,4,4,17:15,2,16
9,Energie Cottbus,FCE,12,4,4,4,16:14,2,16
10,Bor. Mönchengladbach,BMG,11,4,4,3,10:9,1,16
11,1. FSV Mainz 05,M05,12,4,4,4,14:20,-6,16
12,Bayer Leverkusen,B04,11,4,3,4,18:15,3,15
13,VfL Wolfsburg,WOB,11,3,6,2,13:12,1,15
14,Hamburger SV,HSV,11,2,7,2,13:10,3,13
15,Hannover 96,H96,11,3,4,4,18:18,0,13
16,VfL Bochum,BOC,12,4,1,7,14:23,-9,13
17,Alemannia Aachen,AAC,12,3,3,6,21:26,-5,12
18,Eintracht Frankfurt,SGE,11,2,5,4,12:22,-10,11
