#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,6,6,0,0,20:3,17,18
2,Borussia Dortmund,BVB,6,5,1,0,19:4,15,16
3,FC Schalke 04,S04,6,4,1,1,9:5,4,13
4,VfL Wolfsburg,WOB,6,3,2,1,9:7,2,11
5,Hertha BSC,BSC,6,3,1,2,7:7,0,10
6,Hamburger SV,HSV,6,3,1,2,8:9,-1,10
7,1. FC Köln,KOE,6,3,1,2,9:11,-2,10
8,FC Ingolstadt 04,FCI,6,3,1,2,3:5,-2,10
9,1. FSV Mainz 05,M05,6,3,0,3,9:6,3,9
10,SV Darmstadt 98,D98,6,2,3,1,6:7,-1,9
11,Bayer Leverkusen,B04,6,3,0,3,4:8,-4,9
12,Eintracht Frankfurt,SGE,6,2,2,2,12:8,4,8
13,Werder Bremen,SVW,6,2,1,3,7:9,-2,7
14,FC Augsburg,FCA,6,1,1,4,6:9,-3,4
15,VfB Stuttgart,VFB,6,1,0,5,8:14,-6,3
16,Bor. Mönchengladbach,BMG,6,1,0,5,6:14,-8,3
17,1899 Hoffenheim,TSG,6,0,2,4,5:11,-6,2
18,Hannover 96,H96,6,0,1,5,5:15,-10,1
