#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,21,18,2,1,53:10,43,56
2,Borussia Dortmund,BVB,21,15,3,3,53:24,29,48
3,Bayer Leverkusen,B04,21,10,5,6,31:22,9,35
4,Hertha BSC,BSC,21,10,5,6,29:23,6,35
5,FC Schalke 04,S04,21,10,3,8,30:28,2,33
6,1. FSV Mainz 05,M05,21,10,3,8,27:25,2,33
7,Bor. Mönchengladbach,BMG,21,10,2,9,42:38,4,32
8,VfL Wolfsburg,WOB,21,8,6,7,31:28,3,30
9,1. FC Köln,KOE,21,7,8,6,24:27,-3,29
10,VfB Stuttgart,VFB,21,8,3,10,33:41,-8,27
11,Hamburger SV,HSV,21,7,5,9,25:30,-5,26
12,FC Ingolstadt 04,FCI,21,7,5,9,14:23,-9,26
13,SV Darmstadt 98,D98,21,6,6,9,22:31,-9,24
14,FC Augsburg,FCA,21,5,6,10,23:31,-8,21
15,Eintracht Frankfurt,SGE,21,5,6,10,27:37,-10,21
16,Werder Bremen,SVW,21,5,5,11,25:42,-17,20
17,1899 Hoffenheim,TSG,21,2,9,10,19:31,-12,15
18,Hannover 96,H96,21,4,2,15,19:36,-17,14
