#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,17,12,3,2,34:13,21,39
2,RB Leipzig,RBL,17,8,5,4,31:23,8,29
3,1899 Hoffenheim,TSG,17,5,8,4,29:23,6,23
4,Borussia Dortmund,BVB,17,5,6,6,31:28,3,21
5,Bayer Leverkusen,B04,17,6,2,9,26:27,-1,20
6,Werder Bremen,SVW,17,5,5,7,33:40,-7,20
7,VfL Wolfsburg,WOB,17,5,4,8,19:27,-8,19
8,Bor. Mönchengladbach,BMG,17,5,4,8,19:31,-12,19
9,FC Augsburg,FCA,17,4,5,8,13:26,-13,17
10,1. FC Köln,KOE,17,3,7,7,22:25,-3,16
11,SC Freiburg,SCF,17,4,4,9,19:36,-17,16
12,FC Ingolstadt 04,FCI,17,4,3,10,15:27,-12,15
13,FC Schalke 04,S04,17,3,5,9,16:25,-9,14
14,Eintracht Frankfurt,SGE,17,4,2,11,12:25,-13,14
15,Hertha BSC,BSC,17,3,3,11,15:28,-13,12
16,1. FSV Mainz 05,M05,17,3,3,11,14:29,-15,12
17,Hamburger SV,HSV,17,2,4,11,12:36,-24,10
18,SV Darmstadt 98,D98,17,1,1,15,10:38,-28,4
